event,notes,menuText,shortText,chatText,aliasSubname,hasCalm,hasCalmFar,hasUrgent,hasUrgentFar,subEvent,defaultIcon,pingAsset,
PING_EQUIPMENT_INCAPSHIELD_4,,,,#PING_TIERED_LOOT,ping_foundShieldKO,65537,256,1,0,SUB_TYPE_LEVEL4,,,
PING_ATTACHMENT_OPTIC_CQ_HCOG_1,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGECLOSE,,,
PING_ATTACHMENT_OPTIC_CQ_HCOG_2,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGECLOSE,,,
PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_1,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGECLOSE,,,
PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_2,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGECLOSE,,,
PING_ATTACHMENT_OPTIC_CQ_THREAT,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGECLOSE,,,
PING_ATTACHMENT_OPTIC_RANGED_HCOG,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGEMID,,,
PING_ATTACHMENT_OPTIC_RANGED_AOG,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGEMID,,,
PING_ATTACHMENT_OPTIC_SNIPER,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGESNIPER,,,
PING_ATTACHMENT_OPTIC_SNIPER_VARIABLE,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGESNIPER,,,
PING_ATTACHMENT_OPTIC_SNIPER_THREAT,,,,#PING_LOOT,ping_foundOptic,65537,256,1,0,SUB_TYPE_RANGESNIPER,,,
PING_ATTACHMENT_MAG_BULLET_1,,,,#PING_TIERED_LOOT,ping_foundAmmoMagLight,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_ATTACHMENT_MAG_BULLET_2,,,,#PING_TIERED_LOOT,ping_foundAmmoMagLight,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_ATTACHMENT_MAG_BULLET_3,,,,#PING_TIERED_LOOT,ping_foundAmmoMagLight,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_ATTACHMENT_MAG_HIGHCAL_1,,,,#PING_TIERED_LOOT,ping_foundAmmoMagHeavy,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_ATTACHMENT_MAG_HIGHCAL_2,,,,#PING_TIERED_LOOT,ping_foundAmmoMagHeavy,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_ATTACHMENT_MAG_HIGHCAL_3,,,,#PING_TIERED_LOOT,ping_foundAmmoMagHeavy,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_ATTACHMENT_SHOTGUN_BOLT_1,,,,#PING_TIERED_LOOT,ping_foundShotgunBolt,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_ATTACHMENT_SHOTGUN_BOLT_2,,,,#PING_TIERED_LOOT,ping_foundShotgunBolt,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_ATTACHMENT_SHOTGUN_BOLT_3,,,,#PING_TIERED_LOOT,ping_foundShotgunBolt,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_ATTACHMENT_STOCK_STANDARD_1,,,,#PING_TIERED_LOOT,ping_foundStockTactical,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_ATTACHMENT_STOCK_STANDARD_2,,,,#PING_TIERED_LOOT,ping_foundStockTactical,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_ATTACHMENT_STOCK_STANDARD_3,,,,#PING_TIERED_LOOT,ping_foundStockTactical,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_ATTACHMENT_STOCK_SNIPER_1,,,,#PING_TIERED_LOOT,ping_foundStockSniper,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_ATTACHMENT_STOCK_SNIPER_2,,,,#PING_TIERED_LOOT,ping_foundStockSniper,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_ATTACHMENT_STOCK_SNIPER_3,,,,#PING_TIERED_LOOT,ping_foundStockSniper,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_ATTACHMENT_BARREL_STABILIZER_1,,,,#PING_TIERED_LOOT,ping_foundBarrelStabilizer,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_ATTACHMENT_BARREL_STABILIZER_2,,,,#PING_TIERED_LOOT,ping_foundBarrelStabilizer,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_ATTACHMENT_BARREL_STABILIZER_3,,,,#PING_TIERED_LOOT,ping_foundBarrelStabilizer,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_ATTACHMENT_BARREL_STABILIZER_4_FLASH_HIDER,! [jnel] updated for Flash Hider vo event,,,#PING_TIERED_LOOT,ping_foundBarrelStabilizer,65537,256,1,0,SUB_TYPE_LEVEL4,,,
PING_ATTACHMENT_HOPUP_TURBOCHARGER,,,,#PING_LOOT,ping_foundHopUp,65537,256,1,0,SUB_TYPE_TURBOCHARGER,,,
PING_ATTACHMENT_HOPUP_SELECTFIRE,,,,#PING_LOOT,ping_foundHopUp,65537,256,1,0,SUB_TYPE_SELECTFIRE,,,
PING_ATTACHMENT_HOPUP_ENERGY_CHOKE,,,,#PING_LOOT,ping_foundHopUp,65537,256,1,0,SUB_TYPE_CHOKE,,,
PING_ATTACHMENT_HOPUP_HEADSHOT_DMG,,,,#PING_LOOT,ping_foundHopUp,65537,256,1,0,SUB_TYPE_SKULLPIERCER,,,
PING_ITEM_COMBO_FULL,! [jnel] this is the Phoenix Kit.,,,#PING_LOOT,ping_foundPhoenixKit,65537,256,1,0,,,,
PING_ITEM_SHIELD_SMALL,,,,#PING_LOOT,ping_foundShieldCell,65537,256,1,0,,,,
PING_ITEM_SHIELD_LARGE,,,,#PING_LOOT,ping_foundShieldBattery,65537,256,1,0,,,,
PING_ITEM_HEALTH_SMALL,,,,#PING_LOOT,ping_foundSyringe,65537,256,1,0,,,,
PING_ITEM_HEALTH_MEDIUM,,,,#PING_LOOT,ping_foundHealthMedium,65537,256,1,0,,,,
PING_ITEM_HEALTH_LARGE,! [jnel] hooked up specific medKit instead of large health. MedKit script string shares with Large Health.,,,#PING_LOOT,ping_foundMedKit,65537,256,1,0,,,,
PING_ITEM_HEALTH_SYRINGE,,,,#PING_LOOT,ping_foundSyringe,65537,256,1,0,,,,
PING_ITEM_ULTIMATE_ENERGY,,,,#PING_LOOT,ping_foundAccelerant,65537,256,1,0,,,,
PING_MAP_WAYPOINT,,Waypoint,,,,0,0,0,0,,rui/menu/dpad_comms/emoji/exclamation,,
PING_ITEM_ARMOR_SMALL,! Needs urgent/calm,,,#PING_LOOT,,0,0,0,0,,,,
PING_LOCATION,,#PROMPT_PING_LOCATION,#PROMPT_PING_LOCATION_SHORT,#PING_LOCATION,ping_spotDefault,16843009,65793,257,1,,rui/hud/ping/icon_ping_go_outer,settings/itemflav/ping/ping_go.rpak,
PING_DROP_SUGGESTION,,#PROMPT_PING_GO,#PROMPT_PING_GO_SHORT,#PING_GOTO,ping_waypointDropship,1,0,0,0,,rui/hud/ping/icon_ping_go_outer,settings/itemflav/ping/ping_go.rpak,
PING_WE_GO,,#PROMPT_PING_GO,#PROMPT_PING_GO_SHORT,#PING_GOTO,ping_spotDefault,65537,256,1,0,,rui/hud/ping/icon_ping_go_outer,settings/itemflav/ping/ping_go.rpak,
PING_I_GO,,#PROMPT_PING_I_GO,#PROMPT_PING_I_GO_SHORT,#PING_I_GO,ping_exploreGoPlayer,16843009,65793,257,1,,rui/hud/ping/icon_ping_go_outer,settings/itemflav/ping/ping_i_go.rpak,
PING_I_WATCHING,! [jnel] hooked up specific vo events for these,#PROMPT_PING_I_WATCHING,#PROMPT_PING_I_WATCHING_SHORT,#PING_I_WATCHING,ping_watchingHere,16843009,65793,257,1,,rui/hud/ping/icon_ping_watch,settings/itemflav/ping/ping_watching.rpak,
PING_I_LOOTING,! [jnel] hooked up specific vo events for these,#PROMPT_PING_I_LOOTING,#PROMPT_PING_I_LOOTING_SHORT,#PING_I_LOOTING,ping_lootingHere,16843009,65793,257,1,,rui/hud/ping/icon_ping_loot,settings/itemflav/ping/ping_looting.rpak,
PING_I_DEFENDING,! [jnel] hooked up specific vo events for these,#PROMPT_PING_I_DEFENDING,#PROMPT_PING_I_DEFENDING_SHORT,#PING_I_DEFENDING,ping_defendingHere,16843009,65793,257,1,,rui/hud/ping/icon_ping_defense,settings/itemflav/ping/ping_defending.rpak,
PING_I_ATTACKING,! [jnel] hooked up specific vo events for these,#PROMPT_PING_I_ATTACKING,#PROMPT_PING_I_ATTACKING_SHORT,#PING_I_ATTACKING,ping_attackingHere,16843009,65793,257,1,,rui/hud/ping/icon_ping_attack,settings/itemflav/ping/ping_attacking.rpak,
PING_NEED_HEALTH,,#PROMPT_PING_NEED_HEALTH,#PROMPT_PING_NEED_HEALTH_SHORT,,ping_needhealth,65537,256,1,0,,rui/medals/heal,,
PING_HOLD_ON,,#PROMPT_PING_HOLD_ON,#PROMPT_PING_HOLD_ON_SHORT,,ping_markerwait,65537,256,1,0,,rui/menu/dpad_comms/emoji/stop,,
PING_ABILITY_ME,! Needs new: "I'm going to do my unique thing",#PROMPT_PING_ABILITY_ME,#PROMPT_PING_ABILITY_ME_SHORT,#PING_ABILITY_ME,ping_abilityTacticalPlayer,16843009,65793,257,1,,rui/hud/common/objective_marker,,
PING_ABILITY_ALLY,! Needs new: "You should do your unique thing",#PROMPT_PING_ABILITY_ALLY,#PROMPT_PING_ABILITY_ALLY_SHORT,#PING_ABILITY_ALLY,ping_abilityTacticalTeam,65537,256,1,0,,rui/hud/common/objective_marker,,
PING_AREA_CLEAR,,#PROMPT_PING_AREA_CLEAR,#PROMPT_PING_AREA_CLEAR_SHORT,#PING_AREA_CLEAR,ping_areaClear,16843009,65793,257,1,,rui/menu/dpad_comms/emoji/ok,,
PING_AREA_VISITED,! [jnel] hooked up specific vo event for someone's been here,#PROMPT_PING_AREA_VISITED,#PROMPT_PING_AREA_VISITED_SHORT,#PING_AREA_VISITED,ping_cluePresence,16843009,65793,257,1,,rui/hud/ping/icon_ping_someonesbeen,settings/itemflav/ping/ping_area_visited.rpak,
PING_DOOR,! [jnel] hooked up ping_doorOpen.  But unused we also have ping_doorDestroyed and ping_doorClosed.,#PROMPT_PING_DOOR,#PROMPT_PING_DOOR_SHORT,#PING_DOOR,ping_doorOpen,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_DEATHBOX,,#PROMPT_PING_DEATHBOX,#PROMPT_PING_DEATHBOX_SHORT,#PING_DEATHBOX,ping_deathBox,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_LOOTBIN,! [jnel] changed ping_crate to ping_lootBin,#PROMPT_PING_LOOTBIN,#PROMPT_PING_LOOTBIN_SHORT,#PING_LOOTBIN,ping_supplyBin,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_LOOTBIN_OPEN,! [jnel] changed ping_crate to ping_lootBin,#PROMPT_PING_LOOTBIN_OPEN,#PROMPT_PING_LOOTBIN_OPEN_SHORT,#PING_LOOTBIN_OPEN,ping_supplyBinOpen,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_CAREPACKAGE,,#PROMPT_PING_CAREPACKAGE,#PROMPT_PING_CAREPACKAGE_SHORT,#PING_CAREPACKAGE,ping_carePackage,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_MY_CAREPACKAGE,! Line needed ?  (Roger?),#PROMPT_PING_CAREPACKAGE,#PROMPT_PING_CAREPACKAGE_SHORT,#PING_CAREPACKAGE,ping_carePackage,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_SURVEYBEACON,! [jnel] changed generic ping_beacon to specifc ping_surveyBeacon,#PROMPT_PING_SURVEYBEACON,#PROMPT_PING_SURVEYBEACON_SHORT,#PING_SURVEYBEACON,ping_surveyBeacon,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_HOVERTANK,,#PROMPT_PING_HOVERTANK,#PROMPT_PING_HOVERTANK_SHORT,#PING_HOVERTANK,ping_supplyShip,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_ZIPLINE,,#PROMPT_PING_ZIPLINE,#PROMPT_PING_ZIPLINE_SHORT,#PING_ZIPLINE,ping_zipline,16843009,65793,257,1,,rui/hud/common/objective_marker,settings/itemflav/ping/ping_go.rpak,
PING_ENEMY_SPOTTED_GENERAL,,#PROMPT_PING_ENEMY_SPOTTED_GENERAL,#PROMPT_PING_ENEMY_SPOTTED_GENERAL_SHORT,#PING_ENEMY_SPOTTED_GENERAL,ping_spotEnemy,16843009,65793,257,1,,rui/hud/ping/icon_ping_enemy,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_SPOTTED_SPECIFIC,,#PROMPT_PING_ENEMY_SPOTTED_SPECIFIC,#PROMPT_PING_ENEMY_SPOTTED_SPECIFIC_SHORT,#PING_ENEMY_SPOTTED_SPECIFIC,ping_spotEnemy,16843009,65793,257,1,,rui/hud/ping/icon_ping_enemy,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_SNIPER,,#PROMPT_PING_ENEMY_NPC_SNIPER,#PROMPT_PING_ENEMY_NPC_SNIPER,#PING_ENEMY_NPC_SNIPER,ping_spotSniper,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_SPECTRE,,#PROMPT_PING_ENEMY_NPC_SPECTRE,#PROMPT_PING_ENEMY_NPC_SPECTRE,#PING_ENEMY_NPC_SPECTRE,ping_spotSpectre,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_STALKER,,#PROMPT_PING_ENEMY_NPC_STALKER,#PROMPT_PING_ENEMY_NPC_STALKER,#PING_ENEMY_NPC_STALKER,ping_spotStalker,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_REAPER,,#PROMPT_PING_ENEMY_NPC_REAPER,#PROMPT_PING_ENEMY_NPC_REAPER,#PING_ENEMY_NPC_REAPER,ping_spotReaper,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_TITAN,,#PROMPT_PING_ENEMY_NPC_TITAN,#PROMPT_PING_ENEMY_NPC_TITAN,#PING_ENEMY_NPC_TITAN,ping_spotTitan,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_DRONE,,#PROMPT_PING_ENEMY_NPC_DRONE,#PROMPT_PING_ENEMY_NPC_DRONE,#PING_ENEMY_NPC_DRONE,ping_spotDrone,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_TICK,,#PROMPT_PING_ENEMY_NPC_TICK,#PROMPT_PING_ENEMY_NPC_TICK,#PING_ENEMY_NPC_TICK,ping_spotTick,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_NPC_LOOT_TICK,,#PROMPT_PING_NPC_LOOT_TICK,#PROMPT_PING_NPC_LOOT_TICK,#PING_NPC_LOOT_TICK,ping_lootTick,16843009,65793,257,1,,rui/hud/ping/icon_ping_loot,settings/itemflav/ping/ping_looting.rpak,
PING_ENEMY_NPC_INFECTED,,#PROMPT_PING_ENEMY_NPC_INFECTED,#PROMPT_PING_ENEMY_NPC_INFECTED,#PING_ENEMY_NPC_INFECTED,ping_spotInfected,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_SPIDER,,#PROMPT_PING_ENEMY_NPC_SPIDER,#PROMPT_PING_ENEMY_NPC_SPIDER,#PING_ENEMY_NPC_SPIDER,ping_spotSpider,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_PROWLER,,#PROMPT_PING_ENEMY_NPC_PROWLER,#PROMPT_PING_ENEMY_NPC_PROWLER,#PING_ENEMY_NPC_PROWLER,ping_spotProwler,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_NPC_GOLIATH,,#PROMPT_PING_ENEMY_NPC_GOLIATH,#PROMPT_PING_ENEMY_NPC_GOLIATH,#PING_ENEMY_NPC_GOLIATH,ping_spotGoliath,257,1,0,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_TRAP,,#PROMPT_PING_ENEMY_TRAP,#PROMPT_PING_ENEMY_TRAP_SHORT,#PING_ENEMY_TRAP,ping_enemyTrap,16843009,65793,257,1,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_SMOKE,,#PROMPT_PING_ENEMY_SMOKE,#PROMPT_PING_ENEMY_SMOKE_SHORT,#PING_ENEMY_SMOKE,ping_enemySmoke,16843009,65793,257,1,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_SHIELD,! [jnel] changed ping_enemyShield to ping_shieldUp (there are no friendly/enemy shield lines),#PROMPT_PING_ENEMY_SHIELD,#PROMPT_PING_ENEMY_SHIELD_SHORT,#PING_ENEMY_SHIELD,ping_shieldUp,65537,256,1,0,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_ENEMY_TELEPORTER,! [jnel] changed ping_enemyTeleporter to ping_portal,#PROMPT_PING_ENEMY_TELEPORTER,#PROMPT_PING_ENEMY_TELEPORTER_SHORT,#PING_ENEMY_TELEPORTER,ping_portal,16843009,65793,257,1,,rui/hud/training/gauntlet_target,settings/itemflav/ping/ping_enemy.rpak,
PING_FRIENDLY_TRAP,,#PROMPT_PING_FRIENDLY_TRAP,#PROMPT_PING_FRIENDLY_TRAP_SHORT,#PING_FRIENDLY_TRAP,ping_friendlyTrap,65537,256,1,0,,rui/hud/minimap/compass_icon_arc_trap,settings/itemflav/ping/ping_enemy.rpak,
PING_FRIENDLY_SHIELD,! [jnel] changed ping_friendlyShield to ping_shieldUp (there are no friendly/enemy shield lines),#PROMPT_PING_FRIENDLY_SHIELD,#PROMPT_PING_FRIENDLY_SHIELD_SHORT,#PING_FRIENDLY_SHIELD,ping_shieldUp,65537,256,1,0,,rui/hud/tactical_icons/tactical_gibraltar,settings/itemflav/ping/ping_enemy.rpak,
PING_FRIENDLY_TELEPORTER,! [jnel] changed ping_friendlyTeleporter to ping_portal,#PROMPT_PING_FRIENDLY_TELEPORTER,#PROMPT_PING_FRIENDLY_TELEPORTER_SHORT,#PING_FRIENDLY_TELEPORTER,ping_portal,16843009,65793,257,1,,rui/hud/ultimate_icons/ultimate_wraith,,
PING_FRIENDLY_HEALTH,,#PROMPT_PING_FRIENDLY_HEALTH,#PROMPT_PING_FRIENDLY_HEALTH_SHORT,#PING_FRIENDLY_HEALTH,ping_friendlyHealth,16843009,65793,257,1,,rui/hud/ping/icon_ping_dronemedic,,
PING_RESPAWN_STATION,! [jnel] changed ping_respawnChamber to specifc ping_respawnBeacon,#PROMPT_PING_RESPAWN_STATION,#PROMPT_PING_RESPAWN_STATION_SHORT,#PING_RESPAWN_STATION,ping_respawnBeacon,16843009,65793,257,1,,,,
PING_RESPAWN_DROPSHIP,,#PROMPT_PING_RESPAWN_DROPSHIP,#PROMPT_PING_RESPAWN_DROPSHIP_SHORT,#PING_RESPAWN_DROPSHIP,ping_dropship,65537,256,1,0,,rui/hud/ping/icon_ping_watch,settings/itemflav/ping/ping_watching.rpak,
CANCELED_PING,,#PROMPT_CANCELED_PING,,#CANCELED_PING,ping_markerRedact,65537,256,1,0,,rui/menu/dpad_comms/emoji/stop,,
REPLY_JOIN,,#PROMPT_REPLY_JOIN,,#REPLY_JOIN,ping_iWillJoin,65537,256,1,0,,rui/menu/dpad_comms/emoji/toast_beer,,
REPLY_YES,! [jnel] changed ping_yes to specifc ping_markerYes,#PROMPT_REPLY_YES,,#REPLY_YES,ping_markerYes,65537,256,1,0,,rui/menu/dpad_comms/emoji/thumbsup,,
REPLY_NO,! [jnel] changed ping_no to specifc ping_markerNo,#PROMPT_REPLY_NO,,#REPLY_NO,ping_markerNo,65537,256,1,0,,rui/menu/dpad_comms/emoji/stop,,
REPLY_THANKS,! Needs urgent/calm,#PROMPT_REPLY_THANKS,,#REPLY_THANKS,ping_thanks,0,0,0,0,,rui/menu/dpad_comms/emoji/thumbsup,,
REPLY_I_CANNOT,! Needs new line.,#PROMPT_REPLY_I_CANNOT,,#REPLY_I_CANNOT,ping_no,0,0,0,0,,rui/menu/dpad_comms/emoji/exclamation,,
REPLY_LOOT_DIBS,! [jnel] hooked up claim/dibs vo,#PROMPT_PING_DIBS,,#QUICKCHAT_THANKS,ping_markerWantThat,65537,256,1,0,,rui/menu/dpad_comms/emoji/clapping,,
REPLY_LOOT_UNDIBS,,#PROMPT_PING_UNDIBS,,#CANCELED_PING,ping_markerRedact,65537,256,1,0,,rui/menu/dpad_comms/emoji/stop,,
REPLY_BLEEDOUT_YES,,#PROMPT_REPLY_BLEEDOUT_YES,,#REPLY_BLEEDOUT_YES,ping_reviveYes,65537,256,1,0,,rui/menu/dpad_comms/emoji/thumbsup,,
REPLY_BLEEDOUT_NO,,#PROMPT_REPLY_BLEEDOUT_NO,,#REPLY_BLEEDOUT_NO,ping_reviveNo,65537,256,1,0,,rui/menu/dpad_comms/emoji/exclamation,,
