ref,type,minInWorld,baseWeapon,baseMods,supportedAttachments,lootTags,tier,pingCommsAction,fakeAmmoIcon,icon,pickupModel,skinOverride,attachSound,pickupSound_1p,pickupSound_3p,carrySound,pickupString,desc,countPerDrop,inventorySlotCount,netInt,passive,unused1,unused2,scrapValue,droppodRotate,isDynamic,
special,ammo,0.000000,,,,,1,PING_AMMO_SPECIAL,,rui/hud/gametype_icons/survival/sur_ammo_special,mdl/weapons_r5/loot/_master/w_loot_wep_ammo_nrg.rmdl,0,,survival_loot_pickup_EnergyPack,survival_loot_pickup_3p_EnergyPack,,#SURVIVAL_PICKUP_SPECIAL,#SURVIVAL_PICKUP_SPECIAL_HINT,20,60,,,0,0,0,0,0,
shotgun,ammo,0.000000,,,,,1,PING_AMMO_SHOTGUN,,rui/hud/gametype_icons/survival/sur_ammo_shotgun,mdl/weapons_r5/loot/_master/w_loot_wep_ammo_shg.rmdl,0,,survival_loot_pickup_ShotgunShells,survival_loot_pickup_3p_ShotgunShells,,#SURVIVAL_PICKUP_SHOTGUN,#SURVIVAL_PICKUP_SHOTGUN_HINT,8,64,,,0,0,0,0,0,
highcal,ammo,0.000000,,,,,1,PING_AMMO_HIGHCAL,,rui/hud/gametype_icons/survival/sur_ammo_bullet_large,mdl/weapons_r5/loot/_master/w_loot_wep_ammo_hc.rmdl,0,,survival_loot_pickup_HeavyAmmo,survival_loot_pickup_3p_HeavyAmmo,,#SURVIVAL_PICKUP_BULLETS_LARGE,#SURVIVAL_PICKUP_BULLETS_LARGE_HINT,20,80,,,0,0,0,0,0,
health_pickup_ultimate,health,0.000000,,,,,2,PING_ITEM_ULTIMATE_ENERGY,,rui/hud/loot/loot_health_ultimate,mdl/weapons_r5/loot/w_loot_wep_iso_ultimate_accelerant.rmdl,0,,survival_loot_pickup_Ultimate,survival_loot_pickup_Ultimate_3p,,#SURVIVAL_PICKUP_HEALTH_ULTIMATE,#SURVIVAL_PICKUP_HEALTH_ULTIMATE_HINT,1,1,,,0,0,5,1,0,
health_pickup_combo_full,health,0.000000,,,,,3,PING_ITEM_COMBO_FULL,,rui/hud/loot/loot_stim_combo_full,mdl/weapons_r5/loot/w_loot_wep_iso_phoenix_kit_v1.rmdl,0,,survival_loot_pickup_battery_shield,survival_loot_pickup_Battery_Shield_3p,,#SURVIVAL_PICKUP_HEALTH_COMBO_FULL,#SURVIVAL_PICKUP_HEALTH_COMBO_FULL_HINT,1,1,,,0,0,10,0,0,
health_pickup_health_large,health,0.000000,,,,,2,PING_ITEM_HEALTH_LARGE,,rui/hud/loot/loot_stim_health_large,mdl/weapons_r5/loot/w_loot_wep_iso_health_main_large.rmdl,0,,survival_loot_pickup_Medkit,survival_loot_pickup_Medkit_3P,,#SURVIVAL_PICKUP_HEALTH_LARGE,#SURVIVAL_PICKUP_HEALTH_LARGE_HINT,1,3,,,0,0,10,1,0,
health_pickup_health_small,health,0.000000,,,,,1,PING_ITEM_HEALTH_SMALL,,rui/hud/loot/loot_stim_health_small,mdl/weapons_r5/loot/w_loot_wep_iso_health_main_small.rmdl,0,,survival_loot_pickup_Medkit,survival_loot_pickup_Medkit_3P,,#SURVIVAL_PICKUP_HEALTH_SMALL,#SURVIVAL_PICKUP_HEALTH_SMALL_HINT,2,6,,,0,0,5,1,0,
health_pickup_combo_large,health,0.000000,,,,,2,PING_ITEM_SHIELD_LARGE,,rui/hud/loot/loot_stim_shield_large,mdl/weapons_r5/loot/w_loot_wep_iso_shield_battery_large.rmdl,0,,survival_loot_pickup_battery_shield,survival_loot_pickup_Battery_Shield_3p,,#SURVIVAL_PICKUP_HEALTH_COMBO_LARGE,#SURVIVAL_PICKUP_HEALTH_COMBO_LARGE_HINT,1,3,,,0,0,10,0,0,
health_pickup_combo_small,health,0.000000,,,,,1,PING_ITEM_SHIELD_SMALL,,rui/hud/loot/loot_stim_shield_small,mdl/weapons_r5/loot/w_loot_wep_iso_shield_battery_small.rmdl,0,,survival_loot_pickup_battery_shield,survival_loot_pickup_Battery_Shield_3p,,#SURVIVAL_PICKUP_HEALTH_COMBO_SMALL,#SURVIVAL_PICKUP_HEALTH_COMBO_SMALL_HINT,2,6,,,0,0,5,0,0,
helmet_pickup_lv1,helmet,0.000000,,,,,1,PING_EQUIPMENT_HELMET_1,,rui/hud/loot/loot_helmet_1,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_head_v1.rmdl,1,,survival_loot_pickup_suits_lvl_01,survival_loot_pickup_3p_suits_lvl_01,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_HELMET_1,#SURVIVAL_PICKUP_HELMET_1_HINT,1,1,,,0,0,10,0,0,
helmet_pickup_lv2,helmet,0.000000,,,,,2,PING_EQUIPMENT_HELMET_2,,rui/hud/loot/loot_helmet_2,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_head_v1.rmdl,2,,survival_loot_pickup_suits_lvl_02,survival_loot_pickup_3p_suits_lvl_02,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_HELMET_2,#SURVIVAL_PICKUP_HELMET_2_HINT,1,1,,,0,0,10,0,0,
helmet_pickup_lv3,helmet,0.000000,,,,,3,PING_EQUIPMENT_HELMET_3,,rui/hud/loot/loot_helmet_3,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_head_v1.rmdl,3,,survival_loot_pickup_suits_lvl_03,survival_loot_pickup_3p_suits_lvl_03,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_HELMET_3,#SURVIVAL_PICKUP_HELMET_3_HINT,1,1,,,0,0,10,0,0,
helmet_pickup_lv4_abilities,helmet,0.000000,,,,,4,PING_EQUIPMENT_HELMET_4,,rui/hud/loot/loot_helmet_3,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_head_v1.rmdl,4,,survival_loot_pickup_suits_lvl_04,survival_loot_pickup_3p_suits_lvl_04,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_HELMET_4,#SURVIVAL_PICKUP_HELMET_4_HINT,1,1,,PAS_REDUCED_COOLDOWNS_TAC_ULT,0,0,10,0,0,
armor_pickup_lv1,armor,0.000000,,,,,1,PING_EQUIPMENT_ARMOR_1,,rui/hud/loot/loot_armor_1,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_body_v1.rmdl,1,,survival_loot_pickup_suits_lvl_01,survival_loot_pickup_3p_suits_lvl_01,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_ARMOR_1,#SURVIVAL_PICKUP_ARMOR_1_HINT,1,1,,,0,0,20,0,0,
armor_pickup_lv2,armor,0.000000,,,,,2,PING_EQUIPMENT_ARMOR_2,,rui/hud/loot/loot_armor_2,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_body_v1.rmdl,2,,survival_loot_pickup_suits_lvl_02,survival_loot_pickup_3p_suits_lvl_02,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_ARMOR_2,#SURVIVAL_PICKUP_ARMOR_2_HINT,1,1,,,0,0,20,0,0,
armor_pickup_lv3,armor,0.000000,,,,,3,PING_EQUIPMENT_ARMOR_3,,rui/hud/loot/loot_armor_3,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_body_v1.rmdl,3,,survival_loot_pickup_suits_lvl_03,survival_loot_pickup_3p_suits_lvl_03,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_ARMOR_3,#SURVIVAL_PICKUP_ARMOR_3_HINT,1,1,,,0,0,20,0,0,
armor_pickup_lv4_exec_armor,armor,0.000000,,,,,4,PING_EQUIPMENT_ARMOR_4,,rui/hud/loot/loot_armor_3,mdl/weapons_r5/loot/_master/w_loot_cha_shield_upgrade_body_v1.rmdl,4,,survival_loot_pickup_suits_lvl_04,survival_loot_pickup_3p_suits_lvl_04,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_ARMOR_4,#SURVIVAL_PICKUP_ARMOR_4_HINT,1,1,,PAS_EXEC_BONUS_ARMOR,0,0,20,0,0,
incapshield_pickup_lv1,incapshield,0.000000,,,,,1,PING_EQUIPMENT_INCAPSHIELD_1,,rui/hud/loot/loot_incapshield_1,mdl/weapons_r5/loot/w_loot_wep_iso_shield_down_v1.rmdl,0,,survival_loot_pickup_wallrun_kit,survival_loot_pickup_3p_wallrun_kit,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_INCAPSHIELD_LV1,#SURVIVAL_PICKUP_INCAPSHIELD_LV1_HINT,1,1,,,0,0,10,1,0,
incapshield_pickup_lv2,incapshield,0.000000,,,,,2,PING_EQUIPMENT_INCAPSHIELD_2,,rui/hud/loot/loot_incapshield_1,mdl/weapons_r5/loot/w_loot_wep_iso_shield_down_v1.rmdl,0,,survival_loot_pickup_wallrun_kit,survival_loot_pickup_3p_wallrun_kit,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_INCAPSHIELD_LV2,#SURVIVAL_PICKUP_INCAPSHIELD_LV2_HINT,1,1,,,0,0,10,1,0,
incapshield_pickup_lv3,incapshield,0.000000,,,,,3,PING_EQUIPMENT_INCAPSHIELD_3,,rui/hud/loot/loot_incapshield_1,mdl/weapons_r5/loot/w_loot_wep_iso_shield_down_v1.rmdl,0,,survival_loot_pickup_wallrun_kit,survival_loot_pickup_3p_wallrun_kit,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_INCAPSHIELD_LV3,#SURVIVAL_PICKUP_INCAPSHIELD_LV3_HINT,1,1,,,0,0,10,1,0,
incapshield_pickup_lv4_selfrevive,incapshield,0.000000,,,,,4,PING_EQUIPMENT_INCAPSHIELD_4,,rui/hud/loot/loot_incapshield_1,mdl/weapons_r5/loot/w_loot_wep_iso_shield_down_v1.rmdl,0,,survival_loot_pickup_wallrun_kit,survival_loot_pickup_3p_wallrun_kit,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_INCAPSHIELD_LV4,#SURVIVAL_PICKUP_INCAPSHIELD_LV4_HINT,1,1,,PAS_SELF_REVIVE,0,0,10,1,0,
backpack_pickup_lv1,backpack,0.000000,,,,,1,PING_EQUIPMENT_BACKPACK_1,,rui/hud/loot/loot_backpack_1,mdl/humans_r5/loot/w_loot_char_backpack_light.rmdl,0,,survival_loot_pickup_backpack,survival_loot_pickup_3p_backpack,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_BACKPACK_1,#SURVIVAL_PICKUP_BACKPACK_1_HINT,1,1,,,0,0,10,1,0,
backpack_pickup_lv2,backpack,0.000000,,,,,2,PING_EQUIPMENT_BACKPACK_2,,rui/hud/loot/loot_backpack_2,mdl/humans_r5/loot/w_loot_char_backpack_medium.rmdl,0,,survival_loot_pickup_backpack,survival_loot_pickup_3p_backpack,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_BACKPACK_2,#SURVIVAL_PICKUP_BACKPACK_2_HINT,1,1,,,0,0,10,1,0,
backpack_pickup_lv3,backpack,0.000000,,,,,3,PING_EQUIPMENT_BACKPACK_3,,rui/hud/loot/loot_backpack_3,mdl/humans_r5/loot/w_loot_char_backpack_heavy.rmdl,0,,survival_loot_pickup_backpack,survival_loot_pickup_3p_backpack,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_BACKPACK_3,#SURVIVAL_PICKUP_BACKPACK_3_HINT,1,1,,,0,0,20,1,0,
backpack_pickup_lv4_all_fast,backpack,0.000000,,,,,4,PING_EQUIPMENT_BACKPACK_4,,rui/hud/loot/loot_backpack_3,mdl/humans_r5/loot/w_loot_char_backpack_heavy.rmdl,0,,survival_loot_pickup_backpack,survival_loot_pickup_3p_backpack,weapon_sentryfragdrone_throw_1p,#SURVIVAL_PICKUP_BACKPACK_4,#SURVIVAL_PICKUP_BACKPACK_4_HINT,1,1,,PAS_FAST_HEAL,0,0,20,1,0,
mp_weapon_thermite_grenade,ordnance,0.000000,,,,,1,PING_OFFHAND_GRENADE_FIRESTAR,,rui/ordnance_icons/grenade_incendiary,mdl/weapons/grenades/w_thermite_grenade.rmdl,0,,survival_loot_pickup_ArcBlade,survival_loot_pickup_3p_ArcBlade,,,,1,2,,,0,0,5,1,0,
mp_weapon_frag_grenade,ordnance,0.000000,,,,,1,PING_OFFHAND_GRENADE_FRAG,,rui/ordnance_icons/grenade_frag,mdl/weapons/grenades/w_loot_m20_f_grenade_projectile.rmdl,0,,survival_loot_pickup_ordanance,survival_loot_pickup_3p_ordanance,,,,1,2,,,0,0,5,0,0,
mp_weapon_grenade_emp,ordnance,0.000000,,,,,1,PING_OFFHAND_GRENADE_ARC,,rui/ordnance_icons/grenade_arc,mdl/weapons_r5/loot/w_loot_wep_iso_shuriken.rmdl,0,,survival_loot_pickup_ArcBlade,survival_loot_pickup_3p_ArcBlade,,,,1,2,,,0,0,5,1,0,
optic_cq_hcog_classic,attachment,0.000000,,,,,1,PING_ATTACHMENT_OPTIC_CQ_HCOG_1,,rui/weapon_icons/attachments/hcog,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_cq_hcog_r1.rmdl,1,survival_loot_attach_hcog,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_cq_hcog_bruiser,attachment,0.000000,,,,,2,PING_ATTACHMENT_OPTIC_CQ_HCOG_2,,rui/weapon_icons/attachments/hcog_bruiser,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_cq_hcog_r2.rmdl,2,survival_loot_attach_hcog,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_cq_holosight,attachment,0.000000,,,,,1,PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_1,,rui/weapon_icons/attachments/holosight,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_cq_holo_var.rmdl,1,survival_loot_attach_holosight,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_cq_holosight_variable,attachment,0.000000,,,,,2,PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_2,,rui/weapon_icons/attachments/1x_2x_variable_holosight,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_cq_holo_var_2x.rmdl,2,survival_loot_attach_holosight,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_cq_threat,attachment,0.000000,,,,,4,PING_ATTACHMENT_OPTIC_CQ_THREAT,,rui/weapon_icons/attachments/threat_scope,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_cq_threat.rmdl,3,survival_loot_attach_threat_scope,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,#SURVIVAL_PICKUP_THREAT_SCOPE_HINT,1,1,,,0,0,5,0,0,
optic_ranged_hcog,attachment,0.000000,,,,,3,PING_ATTACHMENT_OPTIC_RANGED_HCOG,,rui/weapon_icons/attachments/hcog_ranged,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_rng_hcog_acgs.rmdl,3,survival_loot_attach_hcog,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_ranged_aog_variable,attachment,0.000000,,,,,3,PING_ATTACHMENT_OPTIC_RANGED_AOG,,rui/weapon_icons/attachments/2x_4x_variable_aog,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_rng_aog_var_r1.rmdl,3,survival_loot_attach_aog,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_sniper,attachment,0.000000,,,,,2,PING_ATTACHMENT_OPTIC_SNIPER,,rui/weapon_icons/attachments/4x_sniper,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_sni_dcom.rmdl,3,survival_loot_attach_aog,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_sniper_variable,attachment,0.000000,,,,,3,PING_ATTACHMENT_OPTIC_SNIPER_VARIABLE,,rui/weapon_icons/attachments/4x_8x_variable_sniper,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_sni_var_talon.rmdl,3,survival_loot_attach_aog,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
optic_sniper_threat,attachment,0.000000,,,,,4,PING_ATTACHMENT_OPTIC_SNIPER_THREAT,,rui/weapon_icons/attachments/8x_threat_sniper,mdl/weapons_r5/loot/_master/w_loot_wep_mods_optic_sni_threat_wyeon.rmdl,4,survival_loot_attach_aog,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
barrel_stabilizer_l1,attachment,0.000000,,,,,1,PING_ATTACHMENT_BARREL_STABILIZER_1,,rui/pilot_loadout/mods/barrel_stabilizer,mdl/weapons_r5/loot/_master/w_loot_wep_mods_suppr_v2b.rmdl,2,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
barrel_stabilizer_l2,attachment,0.000000,,,,,2,PING_ATTACHMENT_BARREL_STABILIZER_2,,rui/pilot_loadout/mods/barrel_stabilizer,mdl/weapons_r5/loot/_master/w_loot_wep_mods_suppr_v2b.rmdl,2,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
barrel_stabilizer_l3,attachment,0.000000,,,,,3,PING_ATTACHMENT_BARREL_STABILIZER_3,,rui/pilot_loadout/mods/barrel_stabilizer,mdl/weapons_r5/loot/_master/w_loot_wep_mods_suppr_v2b.rmdl,3,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
barrel_stabilizer_l4_flash_hider,attachment,0.000000,,,,,4,PING_ATTACHMENT_BARREL_STABILIZER_4_FLASH_HIDER,,rui/pilot_loadout/mods/barrel_flash,mdl/weapons_r5/loot/_master/w_loot_wep_mods_suppr_v1b.rmdl,0,survival_loot_attach_silencer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,0,0,
bullets_mag_l1,attachment,0.000000,,,,,1,PING_ATTACHMENT_MAG_BULLET_1,,rui/pilot_loadout/mods/light_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v1b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
bullets_mag_l2,attachment,0.000000,,,,,2,PING_ATTACHMENT_MAG_BULLET_2,,rui/pilot_loadout/mods/light_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v1b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
bullets_mag_l3,attachment,0.000000,,,,,3,PING_ATTACHMENT_MAG_BULLET_3,,rui/pilot_loadout/mods/light_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v1b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
